thisRow.t,notes,session,generation,trial,selected_id,rt,mode,participant,session,fullscreen,
,,001,0,0,10,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,0,1,4,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,0,2,3,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,0,3,3,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,0,4,5,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,0,5,9,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,0,6,2,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,0,7,1,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,0,8,5,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,0,9,11,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,0,10,9,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,0,11,7,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,1,0,10,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,1,1,6,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,1,2,10,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,1,3,2,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,1,4,8,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,1,5,10,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,1,6,3,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,1,7,10,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,1,8,2,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,1,9,5,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,1,10,2,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,1,11,3,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,2,0,2,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,2,1,6,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,2,2,1,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,2,3,3,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,2,4,0,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,2,5,4,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,2,6,6,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,2,7,1,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,2,8,10,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,2,9,5,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,2,10,0,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,2,11,5,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,3,0,8,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,3,1,6,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,3,2,3,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,3,3,7,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,3,4,1,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,3,5,0,0.5,ideal_observer,jhgkjhgkjhg,001,False,
