participant_id,group,total_raw,total_normalized
12172,low,32,0.2
-1,low,42,0.2625
13204,low,56,0.35
12598,low,62,0.3875
13075,low,65,0.40625
12262,low,66,0.4125
12427,low,71,0.44375
13336,low,81,0.50625
13246,mid,118,0.7375
12040,mid,118,0.7375
12361,mid,118,0.7375
13465,mid,120,0.75
12109,mid,120,0.75
13153,mid,123,0.76875
12286,mid,124,0.775
12295,mid,125,0.78125
12700,high,168,1.05
12301,high,186,1.1625
11935,high,218,1.3625
11974,high,220,1.375
13648,high,234,1.4625
11911,high,276,1.725
13666,high,280,1.75
14494,high,302,1.8875
